id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,pdp,masih_dirawat,pulang_dan_sehat,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,2649,49,2600,2751,149,2602,405,328,15,7,55,
LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,1336,22,1314,908,118,790,754,422,62,54,216,
3173061005,DKI JAKARTA,JAKARTA BARAT,KALI DERES,PEGADUNGAN,9,1,8,16,4,12,39,12,11,3,13,
3174071006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,1,0,1,12,12,0,17,0,15,0,2,
3173051001,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,24,0,24,13,5,8,29,12,6,4,7,
3172061001,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,46,0,46,38,10,28,30,9,9,4,8,
3173021003,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,46,1,45,10,5,5,30,10,13,1,6,
3175071001,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,18,0,18,13,9,4,29,17,5,4,3,
3173061001,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,22,1,21,13,4,9,31,9,9,5,8,
3174051002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,21,2,19,9,6,3,30,11,1,8,10,
3175071004,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,14,0,14,6,4,2,45,21,1,5,18,
3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,22,2,20,23,6,17,24,11,5,3,5,
3173081004,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,10,0,10,8,2,6,17,4,6,2,5,
3174011003,DKI JAKARTA,JAKARTA SELATAN,TEBET,MENTENG DALAM,16,1,15,9,0,9,18,7,3,2,6,
3172061003,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,77,1,76,28,4,24,43,16,6,3,18,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,11,0,11,7,3,4,11,2,5,1,3,
3175081004,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,6,0,6,6,2,4,23,13,6,2,2,
3172021006,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,47,4,43,45,25,20,66,39,4,7,16,
3172011005,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PLUIT,27,1,26,24,4,20,24,13,3,2,6,
3174091005,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,10,0,10,15,2,13,15,6,1,1,7,
3173051005,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,20,0,20,12,6,6,28,15,2,2,9,
3175021007,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATI,22,0,22,16,9,7,18,10,2,0,6,
3174011001,DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET TIMUR,5,0,5,3,1,2,15,5,3,3,4,
3174061002,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,25,3,22,11,0,11,20,5,3,6,6,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,18,1,17,11,3,8,23,11,3,6,3,
3171031003,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,10,1,9,9,3,6,11,2,1,2,6,
3173051007,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,18,0,18,11,2,9,11,3,4,1,3,
3173051004,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,17,0,17,5,0,5,12,4,2,0,6,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,14,1,13,10,6,4,18,4,1,2,11,
3174071005,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,5,0,5,4,3,1,7,2,4,1,0,
3175031006,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,9,0,9,3,0,3,19,6,1,2,10,
3175061003,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,PENGGILINGAN,50,1,49,13,8,5,27,13,3,2,9,
3174011002,DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET BARAT,4,0,4,8,2,6,28,16,1,2,9,
3173021004,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,3,0,3,4,1,3,13,5,3,3,2,
3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,11,0,11,9,5,4,13,4,3,3,3,
3174021003,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,12,1,11,9,1,8,12,4,3,2,3,
3173071001,DKI JAKARTA,JAKARTA BARAT,PALMERAH,PALMERAH,23,3,20,8,5,3,26,9,3,4,10,
3171051002,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,63,1,62,32,7,25,30,13,3,5,9,
3175041007,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,5,0,5,5,1,4,13,6,1,1,5,
3175021006,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,KAYU PUTIH,26,1,25,20,6,14,31,19,1,4,7,
3171061001,DKI JAKARTA,JAKARTA PUSAT,MENTENG,MENTENG,25,0,25,8,3,5,17,8,2,4,3,
3175051004,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,KALISARI,14,2,12,9,2,7,16,4,2,2,8,
3174051001,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,10,0,10,8,3,5,9,4,3,1,1,
3173051006,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,13,1,12,6,2,4,14,8,1,0,5,
3171031002,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,35,3,32,14,8,6,18,5,3,4,6,
3173081001,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,3,0,3,7,4,3,16,6,3,1,6,
3171081001,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,31,1,30,16,6,10,15,5,2,1,7,
3175021002,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,PISANGAN TIMUR,45,1,44,10,5,5,7,1,1,3,2,
3172031002,DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU UTARA,40,4,36,18,5,13,18,7,1,2,8,
3174041006,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,27,1,26,7,5,2,12,6,0,2,4,
3173011002,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,12,0,12,6,1,5,13,6,3,1,3,
3175071003,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,KLENDER,23,0,23,8,4,4,26,14,2,6,4,
3175011003,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,24,0,24,12,7,5,21,14,1,0,6,
3172051002,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,69,3,66,10,0,10,53,16,1,4,32,
3172021004,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,14,1,13,10,3,7,10,3,2,2,3,
3172011004,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,27,0,27,4,0,4,16,9,1,1,5,
3175011006,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,UTAN KAYU SELATAN,47,4,43,14,4,10,24,11,1,2,10,
3174051005,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,11,0,11,7,3,4,14,6,2,2,4,
3173071003,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KOTA BAMBU UTARA,12,0,12,7,6,1,7,2,3,0,2,
3174101005,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,10,0,10,5,2,3,14,4,2,3,5,
3175091001,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIRACAS,29,0,29,14,5,9,16,7,3,3,3,
3172061002,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,84,0,84,10,5,5,15,8,1,0,6,
3173061003,DKI JAKARTA,JAKARTA BARAT,KALI DERES,TEGAL ALUR,26,0,26,8,3,5,15,9,2,0,4,
3173011006,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,13,1,12,6,3,3,19,10,2,2,5,
3174041005,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,49,1,48,9,4,5,23,11,2,4,6,
3174051006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,15,0,15,6,3,3,8,4,1,3,0,
3175071002,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK BAMBU,17,0,17,6,4,2,13,5,2,2,4,
3175011001,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,PISANGAN BARU,19,2,17,12,4,8,13,6,2,1,4,
3174071009,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,15,3,12,8,1,7,7,4,1,0,2,
3175021005,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,RAWAMANGUN,16,2,14,9,3,6,13,9,1,0,3,
3174091001,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,16,0,16,12,4,8,16,7,4,1,4,
3174061003,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,PONDOK LABU,16,0,16,14,2,12,22,12,3,1,6,
3172021002,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,40,2,38,25,8,17,20,6,0,3,11,
3175101007,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,LUBANG BUAYA,9,0,9,11,7,4,7,5,1,0,1,
3173051003,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,6,0,6,6,2,4,8,3,2,1,2,
3174021006,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,PASAR MANGGIS,8,0,8,8,0,8,6,1,2,1,2,
3175071007,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,8,1,7,4,0,4,10,3,0,4,3,
3175031008,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,5,1,4,3,3,0,6,3,0,1,2,
3171081002,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,38,0,38,7,5,2,15,4,2,4,5,
3174101001,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PESANGGRAHAN,3,0,3,4,1,3,8,2,1,3,2,
3175061006,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,UJUNG MENTENG,4,0,4,9,5,4,6,0,2,2,2,
3174101004,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN SELATAN,2,0,2,5,2,3,5,1,1,1,2,
3175051003,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,5,0,5,6,3,3,3,1,1,1,0,
3174061005,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,15,0,15,10,3,7,5,1,0,3,1,
3174031003,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,39,0,39,10,6,4,13,3,0,4,6,
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,17,2,15,14,6,8,9,5,3,0,1,
3174101003,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN UTARA,10,0,10,6,1,5,13,8,2,1,2,
3173071004,DKI JAKARTA,JAKARTA BARAT,PALMERAH,JATI PULO,7,0,7,6,2,4,12,9,2,0,1,
3171061002,DKI JAKARTA,JAKARTA PUSAT,MENTENG,PEGANGSAAN,19,0,19,3,1,2,12,2,2,1,7,
3173021002,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,7,0,7,4,1,3,6,1,2,1,2,
3173021006,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,5,0,5,7,2,5,7,2,2,1,2,
3175041001,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,KRAMAT JATI,5,0,5,2,0,2,7,0,0,2,5,
3173011005,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,14,1,13,7,1,6,16,10,0,4,2,
3173021007,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,15,0,15,4,1,3,15,10,0,2,3,
3174091003,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,6,0,6,7,3,4,9,5,0,1,3,
3171051003,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,61,0,61,11,1,10,6,4,1,1,0,
3173021005,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,18,0,18,6,1,5,19,8,4,3,4,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,7,0,7,2,2,0,15,7,0,3,5,
3174021002,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,12,0,12,4,0,4,3,0,1,2,0,
3173081006,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,9,1,8,6,3,3,13,4,1,0,8,
3173081005,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,JOGLO,9,0,9,3,1,2,6,3,2,0,1,
3175061004,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,17,0,17,10,4,6,7,2,3,0,2,
3173081002,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,10,2,8,8,4,4,11,6,3,0,2,
3174051004,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,8,0,8,2,1,1,13,4,3,0,6,
3174081001,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,PANCORAN,8,0,8,5,2,3,10,5,1,2,2,
3174041001,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,16,0,16,10,3,7,9,5,2,1,1,
3175081002,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,PINANG RANTI,7,1,6,3,1,2,8,1,2,2,3,
3174051003,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,5,0,5,9,4,5,9,5,2,1,1,
3171071001,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,4,0,4,2,0,2,5,3,1,1,0,
3175081005,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,9,1,8,3,1,2,11,6,0,2,3,
3175061005,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,PULO GEBANG,33,0,33,12,4,8,16,10,2,2,2,
3174081004,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,DUREN TIGA,8,0,8,7,1,6,6,2,2,0,2,
3174041007,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,19,1,18,4,1,3,10,4,3,0,3,
3174041002,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,16,1,15,7,3,4,11,4,0,2,5,
3174041003,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,13,1,12,12,1,11,10,3,3,2,2,
3175021003,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,CIPINANG,7,0,7,6,4,2,9,3,1,2,3,
3171021001,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,13,2,11,11,1,10,16,9,1,0,6,
3171011003,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,14,0,14,10,5,5,11,5,1,2,3,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,2,1,1,4,0,4,6,2,0,1,3,
3171061004,DKI JAKARTA,JAKARTA PUSAT,MENTENG,GONDANGDIA,4,0,4,4,2,2,9,6,0,2,1,
3175051005,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,PEKAYON,6,2,4,5,4,1,3,2,0,1,0,
3171021004,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,36,3,33,13,5,8,17,8,2,4,3,
3172041002,DKI JAKARTA,JAKARTA UTARA,CILINCING,SUKAPURA,21,0,21,9,3,6,6,2,0,1,3,
3174021004,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET,9,0,9,4,1,3,5,4,1,0,0,
3171011002,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,23,1,22,8,6,2,10,5,0,2,3,
3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,20,0,20,8,5,3,13,5,0,0,8,
3174011004,DKI JAKARTA,JAKARTA SELATAN,TEBET,KEBON BARU,10,0,10,9,4,5,7,0,2,0,5,
3173071002,DKI JAKARTA,JAKARTA BARAT,PALMERAH,SLIPI,10,0,10,3,1,2,7,3,0,0,4,
3174091004,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,16,0,16,7,0,7,7,5,0,0,2,
3173071005,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KEMANGGISAN,13,0,13,9,2,7,14,5,1,1,7,
